Hodnoty pro confidence interval,,,,,,,,,,,,,,Doba,,,,,,,,,,,,,,,,,,,,
z,,"mam 5 stupnu volnosti  a confidence pro 0,975 -> tj. interval 0,95",,,,Nasobitel,100,,,,,,,"pro 25 embedingu, 1 iterace trvala 25 minut",,,,,,,,,,,,,,,,,,,,
2.2622,,,,,,,,,,,,,,,,5 iteraci,,,,,,,,,,,,,,,,,,
Pocet examplu,,,,,,,,,,,,,,tj. 6 * 25,150,750,"cca 12,5 hodin",,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k
"repeat-1-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.593,0.58,0.595,0.479,0.6,0.645,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.368,0.352,0.372,0.339,0.409,,0,fasttext,25,5,5,,,cosine,1
"repeat-2-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.598,0.57,0.486,0.583,0.5,0.71,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.357,0.26,0.402,0.379,0.386,,0,fasttext,25,5,5,,,cosine,1
"repeat-3-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.572,0.546,0.514,0.542,0.45,0.677,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.375,0.328,0.355,0.296,0.52,,0,fasttext,25,5,5,,,cosine,1
"repeat-4-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.609,0.592,0.595,0.521,0.575,0.677,0.833,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.298,0.253,0.382,0.184,0.375,,0,fasttext,25,5,5,,,cosine,1
"repeat-5-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.566,0.57,0.595,0.562,0.575,0.548,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.352,0.313,0.365,0.366,0.362,,0,fasttext,25,5,5,,,cosine,1
"repeat-6-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.63,0.61,0.595,0.562,0.575,0.71,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.387,0.263,0.351,0.422,0.511,,0,fasttext,25,5,5,,,cosine,1
"repeat-7-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.598,0.578,0.595,0.542,0.5,0.677,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.354,0.3,0.374,0.396,0.345,,0,fasttext,25,5,5,,,cosine,1
"repeat-8-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.597,0.593,0.622,0.562,0.575,0.613,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.385,0.315,0.404,0.364,0.455,,0,fasttext,25,5,5,,,cosine,1
"repeat-9-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.588,0.574,0.514,0.562,0.575,0.645,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.352,0.264,0.345,0.335,0.465,,0,fasttext,25,5,5,,,cosine,1
"repeat-10-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=25, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.575,0.566,0.568,0.583,0.5,0.613,0.889,0,fasttext,25,5,5,1,0,cosine,1,Rank overview,,0.346,0.224,0.432,0.332,0.396,,0,fasttext,25,5,5,,,cosine,1
